"DYCE (CRAIBSTONE)",,,,,,,,,,,,
Grid ref,NJ872107,Long,-2.213401,Lat,57.186931,,,,,,,
Station no,5647,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.01,2.66,1.20,1.11,1.17,3.59,2.45,3.52,2.53,4.83,,
February,3.91,1.39,1.26,2.81,2.82,1.78,2.26,3.90,0.32,2.89,,
March,2.89,3.86,0.30,1.83,1.78,1.59,2.24,4.77,1.52,1.47,,
April,2.66,1.51,2.52,1.53,0.77,1.55,1.41,1.67,3.08,1.46,,
May,1.43,2.52,2.62,3.83,3.07,0.52,1.52,3.28,1.66,0.94,,
June,2.11,3.04,2.52,2.39,1.96,1.79,3.27,1.62,1.88,1.59,,
July,5.75,2.20,4.53,2.74,0.83,5.76,8.27,5.89,1.67,4.66,,
August,3.96,4.69,2.51,3.06,0.35,3.31,4.64,2.75,0.78,4.38,,
September,1.25,2.05,4.23,1.31,2.11,4.79,2.26,2.44,0.62,2.83,,
October,0.91,2.67,1.89,5.14,5.08,2.90,1.39,1.61,3.94,9.35,,
November,8.72,3.55,2.53,6.02,2.58,1.78,1.66,0.75,4.99,5.80,,
December,2.27,2.87,2.75,3.35,5.69,4.47,3.99,5.08,4.50,2.66,,
Total,39.87,33.01,28.86,35.12,28.21,33.83,35.36,37.28,27.49,42.86,,
Calc annual,39.87,33.01,28.86,35.12,28.21,33.83,35.36,37.28,27.49,42.86,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
