"DUNMURRY (WARREN HOUSE)",,,,,,,,,,,,
Grid ref,IJ286685,Long,-6.013120,Lat,54.548626,,,,,,,
Station no,6212,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.02,,,,,,,,,,,
February,3.27,,,,,,,,,,,
March,2.62,,,,,,,,,,,
April,1.55,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,10.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
