"EDINBURGH (ASTLEY AINSLIE INSTITUTE)",,,,,,,,,,,,
Grid ref,NT251713,Long,-3.200313,Lat,55.928912,,,,,,,
Station no,5142,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.39,2.79,0.32,2.46,1.86,1.44,3.36,1.30,0.92,2.87,,
February,2.10,0.48,0.70,1.85,1.57,2.05,3.43,2.32,0.43,2.24,,
March,2.92,1.05,0.43,1.45,1.93,1.04,1.41,2.73,0.43,1.19,,
April,2.61,1.50,2.17,1.60,0.32,0.60,0.62,2.01,1.95,0.78,,
May,3.69,1.84,1.88,4.74,1.98,0.54,1.65,2.33,0.47,1.54,,
June,1.63,2.25,1.38,2.36,0.83,2.24,1.09,3.40,1.67,1.28,,
July,3.85,2.20,4.69,2.15,1.68,5.71,4.95,7.14,2.62,2.60,,
August,5.69,4.31,2.18,5.63,0.97,7.12,2.95,3.55,0.24,4.87,,
September,0.96,1.87,2.75,3.45,1.32,4.22,1.62,2.65,0.51,1.51,,
October,0.42,1.60,1.42,6.75,1.44,1.64,1.93,1.10,1.81,3.67,,
November,4.63,2.31,3.03,2.83,0.81,0.64,2.22,1.07,5.05,2.77,,
December,2.48,2.76,3.34,2.77,4.46,2.52,2.26,4.23,2.65,2.39,,
Total,33.37,24.96,24.29,38.04,19.17,29.76,27.49,33.83,18.75,27.71,,
Calc annual,33.37,24.96,24.29,38.04,19.17,29.76,27.49,33.83,18.75,27.71,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
