"DEVIL'S ELBOW (CAIRNWELL BURN)",,,,,,,,,,,,
Grid ref,NO145777,Long,-3.404685,Lat,56.882769,,,,,,,
Station no,5625,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,9.55,,,,,
February,,,,,,,8.00,,,,,
March,,,,,,,5.40,,,,,
April,,,,,,,2.35,,,,,
May,,,,,,,2.70,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,5.60,,,,,,
November,,,,,,3.00,,,,,,
December,,,,,,10.45,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,19.05,28.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
