"LOCH TURRET (CARN CHOIS)",,,,,,,,,,,,
Grid ref,NN799269,Long,-3.948474,Lat,56.418992,,,,,,,
Station no,5545/4/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.20,4.00,2.70,7.00,4.20,4.50,,6.35,3.25,6.75,,
February,6.85,2.00,2.30,7.00,3.20,2.50,,3.50,2.50,7.60,,
March,6.20,5.40,2.40,8.30,3.60,3.60,,4.20,4.30,3.90,,
April,6.30,3.55,3.00,2.00,2.90,1.15,2.20,2.00,4.05,5.00,,
May,1.90,3.05,2.90,6.55,2.80,3.65,3.25,4.20,1.55,3.90,,
June,3.25,3.65,2.70,3.90,2.95,3.30,2.80,4.50,2.60,2.75,,
July,3.86,3.25,7.00,3.60,1.70,5.80,6.45,6.15,6.00,4.80,,
August,7.30,5.90,3.00,4.40,1.70,6.55,4.30,4.90,2.65,4.70,,
September,5.60,2.30,6.75,7.00,3.80,7.35,3.90,5.90,1.60,3.50,,
October,2.00,5.35,3.85,9.65,4.40,3.95,3.15,4.90,,5.30,,
November,8.45,2.66,,,3.20,,2.35,2.20,-999.00,13.50,,
December,,4.00,,,10.55,,7.75,8.00,10.45,8.25,,
Total,,45.11,,,45.00,,,56.80,55.15,69.95,,
Calc annual,58.91,45.11,36.60,59.40,45.00,42.35,36.15,56.80,38.95,69.95,,
Difference,NaN,0.00,NaN,NaN,0.00,NaN,NaN,0.00,16.20,0.00,,
