"KIRDFORD (HILLS GREEN)",,,,,,,,,,,,
Grid ref,SU999279,Long,-0.576413,Lat,51.041780,,,,,,,
Station no,461,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.49,2.63,0.71,1.69,3.31,4.73,2.15,3.02,2.80,3.10,,
February,6.47,0.62,1.23,2.33,2.22,0.23,4.39,2.48,-999.00,3.13,,
March,3.63,2.80,0.40,2.58,1.40,0.59,1.74,1.81,2.44,1.63,,
April,2.17,1.68,1.82,0.28,0.18,1.72,0.42,0.69,2.68,0.77,,
May,2.94,2.61,1.96,1.82,3.74,0.29,0.95,3.08,1.01,0.95,,
June,2.34,1.32,1.40,3.20,2.21,1.93,1.42,4.50,0.84,1.70,,
July,1.68,0.61,3.21,2.76,0.79,3.26,3.64,1.91,1.23,2.90,,
August,4.46,2.45,1.99,2.95,1.11,3.90,2.94,3.70,3.23,5.11,,
September,3.09,2.81,3.77,2.50,1.53,3.81,3.01,5.27,0.04,3.24,,
October,1.43,3.70,3.31,2.89,3.66,1.20,1.62,2.87,2.33,8.13,,
November,8.12,3.81,1.49,6.01,2.23,0.73,2.74,1.95,3.46,5.91,,
December,3.46,2.47,0.80,2.43,3.51,4.71,2.58,3.34,6.73,5.12,,
Total,43.28,27.51,22.09,31.44,25.89,-999.00,27.60,34.62,26.79,41.69,,
Calc annual,43.28,27.51,22.09,31.44,25.89,27.10,27.60,34.62,26.79,41.69,,
Difference,0.00,0.00,0.00,0.00,0.00,-1026.10,0.00,0.00,-0.00,-0.00,,
