"YEOVIL (PEN MILL SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,ST571161,Long,-2.611981,Lat,50.942734,,,,,,,
Station no,2060,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.26,2.45,0.99,1.91,3.22,4.08,3.23,2.99,4.80,3.22,,
February,5.89,0.58,1.69,3.60,2.26,0.28,5.58,3.03,0.27,3.67,,
March,3.05,2.79,0.68,4.53,1.54,1.05,2.51,0.83,3.34,1.79,,
April,3.60,2.13,3.74,0.29,1.19,1.64,0.50,0.59,3.01,2.38,,
May,3.05,3.02,2.54,2.33,4.41,1.10,2.12,2.19,1.32,1.25,,
June,1.70,1.95,2.76,3.60,2.49,2.64,1.78,5.53,0.90,1.40,,
July,2.49,0.96,3.86,2.97,2.96,2.69,4.76,2.14,1.61,3.32,,
August,4.95,4.18,2.31,2.70,0.84,5.69,2.74,2.13,3.09,4.82,,
September,3.56,4.30,3.63,3.12,1.58,5.48,3.31,5.57,0.08,3.95,,
October,1.17,4.18,3.76,2.49,2.58,2.34,2.34,2.64,3.20,8.76,,
November,10.00,4.64,1.52,7.84,4.20,0.94,2.39,3.08,4.96,4.42,,
December,3.22,2.80,0.81,3.07,5.91,4.28,2.96,3.84,7.43,3.90,,
Total,45.94,33.98,28.29,38.45,33.18,32.21,34.22,34.56,34.01,42.88,,
Calc annual,45.94,33.98,28.29,38.45,33.18,32.21,34.22,34.56,34.01,42.88,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
