"ROCHDALE (ROCH MILLS SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SD886129,Long,-2.173787,Lat,53.612525,,,,,,,
Station no,2860,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.63,5.03,1.62,4.41,3.06,4.96,4.30,4.38,3.55,5.94,,
February,2.71,1.32,2.23,3.30,2.30,1.23,2.89,6.49,0.55,3.02,,
March,5.00,2.59,2.12,3.04,1.97,1.51,3.73,2.63,2.09,1.11,,
April,2.26,3.72,3.04,0.78,2.46,3.09,0.54,1.39,3.29,2.64,,
May,1.56,2.09,2.51,3.12,3.84,1.74,1.55,3.70,1.80,1.95,,
June,0.89,4.23,3.64,3.56,3.22,2.70,2.30,4.72,4.42,1.71,,
July,3.48,2.15,5.49,5.52,2.12,7.08,4.95,3.86,3.28,7.34,,
August,5.09,4.72,5.23,5.85,1.36,10.50,6.19,4.67,0.51,5.83,,
September,2.89,3.76,3.84,5.63,2.82,3.52,6.15,4.85,0.33,3.02,,
October,1.35,4.62,2.23,7.58,2.55,3.30,6.29,4.42,4.95,4.74,,
November,8.33,2.47,4.69,6.33,2.26,1.89,2.25,1.61,4.52,7.37,,
December,7.74,4.19,1.78,6.85,5.81,4.35,5.05,4.13,7.52,4.71,,
Total,45.93,40.89,38.42,55.97,33.77,45.87,46.19,46.85,36.81,49.38,,
Calc annual,45.93,40.89,38.42,55.97,33.77,45.87,46.19,46.85,36.81,49.38,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
