"NORTH BRENTOR (LANGSTONE)",,,,,,,,,,,,
Grid ref,SX482811,Long,-4.146782,Lat,50.609813,,,,,,,
Station no,1660/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.14,5.20,1.29,2.29,5.52,5.31,4.95,3.42,9.61,,,
February,5.98,1.18,2.38,5.83,3.90,0.86,8.26,4.40,,,,
March,5.79,4.46,1.27,4.92,1.94,1.57,5.67,2.40,,,,
April,2.96,4.04,3.21,0.63,1.59,1.36,0.44,0.94,,,,
May,4.87,3.67,4.70,5.11,4.40,1.32,2.90,4.31,,,,
June,2.91,1.56,3.76,4.28,2.86,2.75,4.02,3.53,,,,
July,3.61,2.14,4.52,4.19,1.66,5.72,4.60,3.99,,,,
August,7.12,7.68,2.76,3.99,0.24,4.29,4.26,6.21,,,,
September,5.21,4.42,4.60,5.75,2.77,7.52,5.54,7.75,,,,
October,2.14,5.38,3.46,5.04,3.62,2.84,6.53,,,,,
November,8.40,3.93,4.34,10.69,6.21,2.46,3.44,,,,,
December,5.13,3.88,1.52,4.96,6.51,6.58,3.84,,,,,
Total,60.26,47.54,37.81,57.68,41.22,42.58,54.45,,,,,
Calc annual,60.26,47.54,37.81,57.68,41.22,42.58,54.45,36.95,9.61,0.00,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
