"GALASHEILS (CRAIG HEAD)",,,,,,,,,,,,
Grid ref,NT417403,Long,-2.928036,Lat,55.652717,,,,,,,
Station no,5066/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.40,4.00,0.98,3.75,3.00,2.55,4.60,3.00,2.00,5.50,,
February,2.60,0.90,1.05,2.80,2.45,2.95,3.75,3.90,0.63,4.70,,
March,2.05,1.55,0.50,2.55,2.00,2.20,2.50,2.40,1.80,2.50,,
April,3.45,1.75,2.90,1.35,0.80,0.90,1.10,1.75,3.05,2.36,,
May,3.00,2.30,2.20,5.55,2.85,1.05,2.75,2.30,0.80,2.10,,
June,1.05,2.45,2.45,2.90,1.30,2.85,2.00,3.70,2.80,0.85,,
July,3.05,2.00,4.20,3.25,2.15,4.90,4.15,5.85,2.50,3.50,,
August,4.90,3.70,3.75,5.30,1.50,8.75,7.35,3.50,0.78,4.25,,
September,2.10,2.00,2.75,4.70,1.75,2.68,2.25,2.00,1.10,2.10,,
October,0.45,3.65,1.80,5.65,2.50,2.85,2.45,2.10,3.30,5.26,,
November,7.10,3.60,3.80,5.45,1.80,1.40,1.75,0.70,5.50,3.70,,
December,3.20,4.00,2.20,4.30,6.10,4.10,3.60,5.10,4.50,3.85,,
Total,36.35,31.90,28.58,47.55,28.20,37.18,38.25,36.30,28.76,40.67,,
Calc annual,36.35,31.90,28.58,47.55,28.20,37.18,38.25,36.30,28.76,40.67,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,,
