"KEMPSTON",,,,,,,,,,,,
Grid ref,TL033477,Long,-0.492725,Lat,52.117978,,,,,,,
Station no,1175/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.30,1.32,0.94,0.82,1.86,3.86,0.91,2.37,3.37,2.68,,
February,3.04,0.55,1.50,1.73,1.46,0.56,2.31,2.36,0.09,2.19,,
March,2.80,3.04,0.54,2.10,1.27,0.66,1.33,1.59,2.24,1.69,,
April,2.90,1.86,1.98,0.31,0.40,0.99,0.20,0.83,1.60,0.32,,
May,2.03,1.93,1.38,3.07,3.85,0.55,1.42,1.63,0.57,1.41,,
June,0.67,0.90,2.32,2.36,2.25,2.43,1.69,4.75,0.94,2.39,,
July,1.58,0.51,2.31,2.94,0.11,4.31,2.52,2.95,3.21,3.40,,
August,2.73,1.98,3.27,3.35,0.65,3.54,2.52,3.18,0.59,2.62,,
September,1.56,3.58,0.79,1.66,1.77,1.57,3.31,2.55,0.05,3.86,,
October,1.06,2.87,1.90,1.56,1.62,1.66,1.53,1.78,2.06,4.08,,
November,4.04,3.06,1.17,3.58,1.08,0.66,1.59,1.70,1.62,3.36,,
December,1.26,2.09,0.43,2.21,1.99,2.48,2.18,2.46,2.97,2.92,,
Total,25.97,23.69,18.53,25.69,18.31,23.27,21.51,28.15,19.31,30.92,,
Calc annual,25.97,23.69,18.53,25.69,18.31,23.27,21.51,28.15,19.31,30.92,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
