"ROCHDALE (NORDEN DEAN) OLD G.",,,,,,,,,,,,
Grid ref,SD856170,Long,-2.219323,Lat,53.649301,,,,,,,
Station no,2897,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.09,3.84,1.93,4.44,2.65,,,,,,,
February,2.64,1.15,1.55,3.73,2.04,,,,,,,
March,4.80,3.07,2.09,3.05,2.01,,,,,,,
April,2.09,3.87,3.41,0.84,2.62,,,,,,,
May,1.75,2.25,2.21,3.20,3.94,,,,,,,
June,1.79,4.01,3.37,3.97,3.92,,,,,,,
July,3.32,2.55,7.80,6.11,1.93,,,,,,,
August,5.27,5.19,6.34,6.91,1.03,,,,,,,
September,3.52,3.33,4.10,5.16,3.15,,,,,,,
October,1.15,5.07,2.33,9.11,2.14,,,,,,,
November,9.13,2.31,5.51,6.28,2.68,,,,,,,
December,7.06,4.39,2.04,5.91,5.03,,,,,,,
Total,46.61,41.03,42.68,58.71,33.14,,,,,,,
Calc annual,46.61,41.03,42.68,58.71,33.14,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
