"PARTON (HARVEST WATER)",,,,,,,,,,,,
Grid ref,SU076875,Long,-1.891701,Lat,51.586306,,,,,,,
Station no,1539/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.66,2.13,2.74,4.07,2.52,2.85,3.45,3.68,,
February,,,1.08,1.33,1.68,0.25,2.42,2.14,0.08,2.14,,
March,,,0.73,2.31,1.71,0.45,2.44,0.88,2.56,0.86,,
April,,,2.11,0.49,0.76,1.88,0.25,0.61,1.77,1.04,,
May,,,1.02,2.38,4.54,0.46,0.98,2.55,1.04,0.80,,
June,,,1.61,5.52,3.01,2.35,1.53,2.90,2.68,3.44,,
July,,,2.91,2.01,0.17,1.16,,2.40,0.63,3.14,,
August,,,3.03,3.33,0.47,3.58,3.79,2.66,5.02,2.24,,
September,,,3.05,2.12,0.91,2.10,3.13,4.19,0.06,4.00,,
October,,,2.92,2.45,1.81,1.75,2.62,2.77,2.38,4.56,,
November,,3.00,1.52,5.55,2.26,0.55,1.89,2.58,2.20,4.44,,
December,,2.50,0.69,2.18,2.60,3.72,1.16,3.55,4.80,4.16,,
Total,,,21.33,31.80,22.66,22.32,,30.08,26.67,34.50,,
Calc annual,0.00,5.50,21.33,31.80,22.66,22.32,22.73,30.08,26.67,34.50,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,NaN,-0.00,0.00,0.00,,
