"INCHKEITH LIGHTHOUSE",,,,,,,,,,,,
Grid ref,NT293828,Long,-3.136135,Lat,56.032853,,,,,,,
Station no,5504,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.13,1.66,0.70,1.32,1.42,1.07,2.58,0.59,0.47,2.62,,
February,1.60,0.43,0.58,1.81,0.44,1.47,2.67,1.62,0.31,1.39,,
March,2.35,0.86,0.50,1.57,0.95,0.83,2.13,1.96,0.36,1.47,,
April,2.62,1.10,1.45,1.38,0.58,0.75,0.68,1.54,1.19,0.39,,
May,2.24,2.03,1.50,2.59,2.47,0.46,1.26,1.69,0.33,1.32,,
June,2.27,1.41,0.96,2.32,0.84,2.32,1.30,2.82,3.00,0.97,,
July,5.62,2.09,4.61,2.34,1.39,4.24,4.53,5.84,3.27,2.65,,
August,4.87,2.62,1.53,3.41,0.72,5.24,2.21,2.81,0.14,3.11,,
September,0.98,1.64,2.60,2.70,0.84,3.10,1.44,2.05,0.85,1.41,,
October,0.11,0.96,0.71,5.12,1.72,0.97,1.23,0.70,0.86,2.52,,
November,2.88,1.80,3.02,2.83,1.20,0.37,1.88,0.66,3.88,1.86,,
December,2.33,1.81,2.62,2.57,2.69,1.44,1.70,3.74,1.87,1.66,,
Total,31.00,18.41,20.78,29.96,15.26,22.26,23.61,26.02,16.53,21.37,,
Calc annual,31.00,18.41,20.78,29.96,15.26,22.26,23.61,26.02,16.53,21.37,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
