"LOCH TURRET (UPPER BARWICK)",,,,,,,,,,,,
Grid ref,NN831282,Long,-3.897215,Lat,56.431468,,,,,,,
Station no,5545/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.70,3.40,2.60,,4.15,4.50,,5.25,3.00,7.15,,
February,6.20,1.50,2.40,,3.15,2.50,,3.85,2.65,8.40,,
March,4.00,4.42,2.40,,4.00,4.10,,4.50,,4.65,,
April,4.00,3.20,2.70,1.50,2.90,1.70,2.75,2.20,9.60,6.75,,
May,1.70,2.50,3.25,6.45,3.50,3.65,3.60,4.75,0.60,4.55,,
June,3.60,3.67,3.00,3.95,2.70,4.10,2.70,4.90,2.80,3.50,,
July,4.55,2.75,7.30,4.70,1.55,6.80,6.60,5.65,6.50,6.20,,
August,,5.85,3.50,5.00,1.55,7.60,6.20,5.40,2.50,6.50,,
September,,2.40,6.80,7.20,3.75,7.95,4.20,7.90,1.40,6.00,,
October,,5.65,4.10,10.65,4.90,4.60,3.80,4.70,6.50,8.80,,
November,12.55,2.80,,,3.20,1.70,4.00,2.10,10.95,,,
December,9.00,4.10,,,10.70,11.50,9.20,8.00,11.35,,,
Total,67.75,42.24,,,46.05,60.70,,59.20,57.85,,,
Calc annual,52.30,42.24,38.05,39.45,46.05,60.70,43.05,59.20,57.85,62.50,,
Difference,15.45,0.00,NaN,NaN,-0.00,0.00,NaN,0.00,0.00,NaN,,
