"SHINFIELD GRANGE",,,,,,,,,,,,
Grid ref,SU740688,Long,-0.937335,Lat,51.413400,,,,,,,
Station no,777/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.13,2.91,3.19,1.47,2.78,,,,
February,,,,2.26,1.09,0.17,2.72,2.43,,,,
March,,,,2.15,0.89,0.48,1.12,1.26,,,,
April,,,,0.25,0.24,1.46,0.29,1.13,,,,
May,,,,1.99,3.57,0.26,0.97,1.71,,,,
June,,,,4.46,1.97,1.87,1.73,3.51,,,,
July,,,,2.44,0.14,2.63,3.96,2.32,,,,
August,,,,2.97,0.44,3.93,1.89,3.37,,,,
September,,,,1.82,1.51,2.72,2.90,3.05,,,,
October,,,,1.79,2.80,1.69,2.01,2.12,,,,
November,,,,4.48,1.53,0.52,2.42,,,,,
December,,,,2.39,2.41,3.51,2.29,,,,,
Total,,,,28.13,19.50,22.43,23.77,,,,,
Calc annual,0.00,0.00,0.00,28.13,19.50,22.43,23.77,23.68,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,,
