"HEVERSHAM (PLUMTREE HALL)",,,,,,,,,,,,
Grid ref,SD496836,Long,-2.774928,Lat,54.245593,,,,,,,
Station no,3712,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.22,3.13,2.19,3.67,2.76,4.07,5.03,4.49,3.27,,,
February,3.40,1.07,1.82,3.06,1.50,0.65,4.02,5.07,1.50,,,
March,4.89,2.89,0.48,2.43,1.39,1.10,3.22,1.37,2.52,,,
April,1.85,2.14,2.39,1.19,2.52,1.23,1.01,1.36,4.14,,,
May,1.63,2.65,2.17,3.26,2.90,2.38,3.49,5.38,1.51,,,
June,0.97,3.53,3.03,4.57,4.17,2.00,2.12,3.84,6.32,,,
July,3.04,2.30,5.15,5.25,1.62,5.01,3.23,3.42,5.26,,,
August,4.20,4.52,4.19,5.76,1.81,8.54,4.11,4.87,0.57,,,
September,4.53,3.41,5.77,7.34,2.62,3.46,5.21,6.77,0.92,,,
October,0.83,3.12,1.87,8.89,2.32,3.70,7.05,5.49,4.46,,,
November,7.37,1.85,5.45,7.59,2.32,1.36,1.52,1.64,5.34,,,
December,8.26,4.69,2.70,5.93,5.19,4.46,4.37,3.69,8.06,,,
Total,46.19,35.30,37.21,58.94,31.12,37.96,44.38,47.39,43.87,,,
Calc annual,46.19,35.30,37.21,58.94,31.12,37.96,44.38,47.39,43.87,0.00,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,NaN,,
