"NORTH SHIELDS (BILLY MILL RESERVOIR)",,,,,,,,,,,,
Grid ref,NZ341695,Long,-1.468222,Lat,55.018882,,,,,,,
Station no,3566/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.45,1.78,1.00,2.56,1.93,3.53,1.41,1.81,2.52,4.92,,
February,1.83,0.68,1.26,2.02,2.16,1.42,2.29,3.01,0.54,1.89,,
March,3.64,1.26,0.06,1.10,1.76,0.57,1.42,3.51,0.59,1.71,,
April,1.96,1.78,2.08,0.38,0.93,1.01,0.64,1.83,1.87,0.80,,
May,3.69,2.37,2.16,2.92,1.78,0.42,1.86,2.96,0.44,2.24,,
June,2.11,2.18,2.04,2.49,2.47,2.67,1.88,2.72,2.35,0.50,,
July,1.63,0.88,3.04,1.71,0.95,2.60,2.76,2.70,2.44,3.63,,
August,4.20,2.08,3.68,5.50,0.88,7.20,3.60,3.71,0.52,4.19,,
September,1.01,2.81,1.23,2.96,0.86,2.46,3.95,2.04,0.74,2.22,,
October,0.95,2.15,1.28,4.34,1.74,1.83,1.85,1.26,1.50,5.95,,
November,5.84,3.87,1.14,3.43,1.47,0.82,1.11,0.80,2.86,2.44,,
December,1.97,3.02,0.94,1.51,3.12,2.08,1.53,3.31,3.31,2.04,,
Total,30.28,24.86,19.91,30.92,20.05,26.61,24.30,29.66,19.68,32.53,,
Calc annual,30.28,24.86,19.91,30.92,20.05,26.61,24.30,29.66,19.68,32.53,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
