"ALDERLEY (PUMPING STATION)",,,,,,,,,,,,
Grid ref,ST774914,Long,-2.327841,Lat,51.620963,,,,,,,
Station no,2142/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.97,4.12,3.29,2.69,3.93,4.36,,
February,,,,,1.37,0.61,3.17,3.96,0.34,2.42,,
March,,,,,1.55,0.58,2.91,1.22,2.89,1.99,,
April,,,,,1.09,2.13,0.11,1.06,3.85,1.30,,
May,,,,,4.07,0.60,1.47,3.24,1.50,1.47,,
June,,,,,3.06,2.23,1.68,4.34,1.42,2.53,,
July,,,,3.31,0.57,2.34,3.64,2.15,2.47,3.71,,
August,,,,4.79,0.55,3.92,2.43,2.21,3.61,5.27,,
September,,,,4.82,0.89,3.84,3.97,4.86,0.10,4.31,,
October,,,,3.57,1.65,1.46,2.57,2.17,2.98,6.13,,
November,,,,6.37,2.91,0.93,2.11,2.56,3.25,5.26,,
December,,,,2.53,3.57,4.02,2.79,3.37,6.24,4.16,,
Total,,,,,24.25,26.78,30.14,33.83,32.58,42.91,,
Calc annual,0.00,0.00,0.00,25.39,24.25,26.78,30.14,33.83,32.58,42.91,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
