"ANCRUM (MONTEVIOT)",,,,,,,,,,,,
Grid ref,NT643250,Long,-2.566929,Lat,55.517440,,,,,,,
Station no,5050,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.85,2.05,0.80,2.64,2.07,2.05,4.52,2.00,1.72,-999.00,,
February,2.34,0.56,0.93,1.40,2.42,2.54,1.78,2.14,0.57,2.45,,
March,2.15,0.87,0.35,1.61,1.40,0.96,0.55,1.27,0.80,1.82,,
April,2.10,1.59,2.86,0.71,0.57,0.92,0.28,2.36,2.01,1.13,,
May,2.41,1.44,1.80,4.81,2.17,0.64,1.53,2.33,0.42,1.12,,
June,1.20,2.22,1.52,2.05,0.81,2.35,1.19,3.27,2.35,0.76,,
July,2.66,1.18,3.93,2.73,2.18,3.75,2.62,6.18,1.67,2.72,,
August,2.80,2.44,2.38,5.67,0.81,7.93,3.00,1.62,0.41,4.34,,
September,1.56,1.65,3.06,2.18,1.88,2.18,2.25,2.78,1.04,1.02,,
October,0.39,2.19,1.41,4.42,1.75,1.47,2.28,1.67,1.77,2.98,,
November,4.59,3.60,2.63,3.18,1.10,0.73,0.78,0.87,4.42,2.50,,
December,2.27,3.63,1.75,2.72,3.45,3.42,2.03,3.43,3.12,2.46,,
Total,27.32,23.42,23.42,34.12,20.61,28.94,22.81,29.92,20.30,26.82,,
Calc annual,27.32,23.42,23.42,34.12,20.61,28.94,22.81,29.92,20.30,23.30,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,3.52,,
