"DUMBARTON (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,NS407745,Long,-4.551875,Lat,55.937080,,,,,,,
Station no,5324/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.99,5.41,1.91,5.52,3.06,2.80,6.95,,1.73,3.62,,
February,2.86,1.65,1.76,5.25,2.89,1.30,4.32,,1.57,4.97,,
March,2.84,3.23,1.46,3.65,2.14,2.05,4.46,,2.96,2.23,,
April,2.49,2.16,1.35,1.78,2.12,1.32,1.76,,3.27,4.24,,
May,1.96,1.71,2.32,4.41,4.35,1.98,2.69,,1.06,2.49,,
June,1.89,3.12,1.43,2.82,2.36,2.44,1.78,,3.29,2.28,,
July,3.24,2.33,5.08,2.44,2.03,5.13,4.65,,5.61,3.74,,
August,4.90,3.32,3.86,4.93,1.11,4.65,4.59,,0.56,3.63,,
September,3.42,2.93,3.60,6.40,3.90,6.52,2.86,,1.24,3.21,,
October,1.01,5.33,2.83,9.99,3.62,3.57,4.44,,4.56,2.76,,
November,6.91,2.08,6.80,7.98,2.39,2.06,1.96,,5.97,5.58,,
December,7.40,4.86,5.26,6.68,7.79,6.09,4.92,,7.84,5.09,,
Total,43.91,38.13,37.66,61.85,37.76,39.91,45.38,,39.66,43.84,,
Calc annual,43.91,38.13,37.66,61.85,37.76,39.91,45.38,0.00,39.66,43.84,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,NaN,0.00,0.00,,
