"DARTMOOR (NEWBRIDGE)",,,,,,,,,,,,
Grid ref,SX596903,Long,-3.989261,Lat,50.695353,,,,,,,
Station no,1850/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.15,8.50,1.60,4.04,11.20,9.00,8.70,,11.00,8.25,,
February,10.35,1.95,3.50,6.01,6.07,0.65,11.50,,0.65,,,
March,7.90,7.20,2.73,7.40,2.03,5.40,8.60,14.75,7.00,7.00,,
April,5.10,5.20,5.35,1.50,2.04,1.55,0.25,,,2.85,,
May,5.70,4.20,4.09,6.55,4.07,1.75,3.40,,1.90,2.50,,
June,2.90,3.80,3.25,6.25,3.05,3.60,4.60,2.50,2.50,3.00,,
July,4.15,1.30,5.25,7.50,3.00,5.40,8.00,4.00,2.75,,,
August,8.00,10.50,5.05,5.60,0.80,5.70,6.30,6.00,2.75,,,
September,5.60,7.30,6.00,7.10,3.25,7.25,7.20,9.02,0.65,28.00,,
October,2.15,7.90,10.01,7.55,3.65,3.40,7.40,9.05,,17.00,,
November,11.80,6.90,5.00,15.90,6.70,4.20,2.35,,11.50,15.00,,
December,7.80,7.00,2.40,8.10,12.40,9.20,5.90,8.00,16.00,,,
Total,77.60,71.75,54.23,83.50,58.26,57.10,74.20,,,,,
Calc annual,77.60,71.75,54.23,83.50,58.26,57.10,74.20,53.32,56.70,83.60,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,,
