"WALTHAM ABBEY (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TL375003,Long,-0.012414,Lat,51.684632,,,,,,,
Station no,123786,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.42,1.82,0.93,0.94,2.33,3.46,1.10,2.21,,1.64,,
February,5.38,0.63,1.43,2.36,1.59,0.33,2.99,2.55,,1.87,,
March,2.94,2.68,0.56,2.13,1.21,0.79,0.97,0.93,,1.14,,
April,2.85,1.14,2.53,0.20,0.35,1.01,0.10,1.16,,0.48,,
May,2.32,1.61,1.19,1.70,4.20,0.70,0.92,,,1.71,,
June,0.51,1.18,1.55,2.88,2.34,2.43,1.03,,,1.07,,
July,0.76,0.63,3.04,2.95,0.14,3.44,3.09,,,3.41,,
August,5.15,2.92,1.65,3.38,1.37,3.61,1.77,,,2.46,,
September,3.09,2.96,1.67,1.51,1.93,2.15,2.34,,,3.78,,
October,0.73,2.33,2.87,2.31,3.47,2.51,1.89,,,5.63,,
November,4.78,3.65,0.77,3.74,0.67,0.46,2.28,,,3.28,,
December,1.57,2.32,0.52,2.05,1.58,2.71,2.00,,3.06,2.33,,
Total,32.50,23.87,18.71,26.15,21.18,23.60,20.48,,,28.80,,
Calc annual,32.50,23.87,18.71,26.15,21.18,23.60,20.48,6.85,3.06,28.80,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,-0.00,,
