"BASINGSTOKE (WINSLADE HOUSE)",,,,,,,,,,,,
Grid ref,SU656481,Long,-1.061904,Lat,51.228329,,,,,,,
Station no,749/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.17,3.95,,
February,,,,,,,,,0.18,3.35,,
March,,,,,,,,,3.81,1.52,,
April,,,,,,,,,3.23,0.79,,
May,,,,,,,,,0.92,1.80,,
June,,,,,,,,,1.57,1.99,,
July,,,,,,,,,1.90,3.60,,
August,,,,,,,,,2.93,3.62,,
September,,,,,,,,,0.11,4.88,,
October,,,,,,,,,2.80,8.38,,
November,,,,,,,,,3.38,5.14,,
December,,,,,,,,,6.56,3.88,,
Total,,,,,,,,,31.56,42.90,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.56,42.90,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
