"WELLESBOURNE",,,,,,,,,,,,
Grid ref,SP271565,Long,-1.604853,Lat,52.206063,,,,,,,
Station no,2446/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.28,1.63,0.98,0.98,1.95,3.40,1.32,2.51,3.57,3.52,,
February,2.79,0.46,1.14,2.48,1.12,0.46,2.32,3.06,0.10,1.58,,
March,3.99,1.78,1.25,1.93,1.84,0.70,1.90,1.15,1.96,0.91,,
April,2.46,1.75,2.05,0.69,0.86,0.72,0.21,0.47,2.60,0.65,,
May,3.20,2.91,1.31,2.57,5.32,0.78,1.27,1.95,0.48,1.28,,
June,1.05,1.83,1.49,2.62,2.68,1.66,1.03,4.19,0.48,1.99,,
July,0.91,0.33,3.23,2.80,0.21,1.63,2.60,2.64,1.68,3.03,,
August,4.50,4.09,3.03,3.57,0.22,5.51,2.56,3.37,0.73,4.73,,
September,1.79,1.09,1.94,2.31,1.12,2.62,3.05,3.48,0.08,3.48,,
October,0.99,3.15,2.48,2.97,1.18,1.59,1.20,2.37,2.33,4.08,,
November,4.77,2.57,1.20,4.80,1.27,0.77,1.51,2.42,2.06,2.86,,
December,1.67,2.38,0.85,1.79,1.79,2.81,2.17,2.10,3.55,3.23,,
Total,30.40,23.97,20.95,29.51,19.56,22.65,21.14,29.71,19.62,31.34,,
Calc annual,30.40,23.97,20.95,29.51,19.56,22.65,21.14,29.71,19.62,31.34,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
