"DORCHESTER (WATERWORKS)",,,,,,,,,,,,
Grid ref,SY684905,Long,-2.448936,Lat,50.713265,,,,,,,
Station no,1576,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.96,2.84,1.21,2.20,4.13,6.04,5.27,,6.73,4.28,,
February,6.39,0.83,2.69,4.54,2.78,0.14,5.11,,0.34,4.04,,
March,5.38,3.83,0.82,5.36,1.63,1.09,3.82,,4.08,2.94,,
April,2.63,2.38,3.23,0.14,0.74,1.78,0.30,,2.92,3.13,,
May,2.81,3.16,3.52,2.24,5.33,0.94,3.43,,1.67,1.26,,
June,0.54,1.25,3.18,3.44,3.40,3.21,3.55,,1.32,3.75,,
July,2.43,1.08,4.42,3.31,7.28,3.43,5.49,,1.31,4.92,,
August,7.24,4.25,2.47,4.50,0.66,-999.00,4.03,,2.07,5.77,,
September,4.42,4.65,3.99,4.79,2.40,7.44,6.47,,0.13,6.44,,
October,1.19,4.88,3.93,4.31,4.21,2.48,3.67,,4.86,11.42,,
November,10.70,4.25,2.62,7.53,4.00,1.18,2.77,,5.12,7.16,,
December,3.67,4.22,1.12,3.97,7.48,7.54,3.57,,10.75,4.63,,
Total,52.36,37.62,33.20,46.33,44.04,40.75,47.48,,41.30,59.74,,
Calc annual,52.36,37.62,33.20,46.33,44.04,35.27,47.48,0.00,41.30,59.74,,
Difference,0.00,0.00,0.00,0.00,0.00,5.48,-0.00,NaN,0.00,0.00,,
