"DUNSTER (COUNTY SCHOOL)",,,,,,,,,,,,
Grid ref,SS989437,Long,-3.447881,Lat,51.183559,,,,,,,
Station no,2098,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.12,4.43,0.56,2.69,3.21,3.80,2.35,2.57,4.49,3.49,,
February,4.74,1.73,1.90,3.38,2.71,0.40,5.68,4.24,0.22,3.40,,
March,4.95,2.76,1.10,3.93,1.35,1.26,2.51,1.06,3.11,1.88,,
April,4.05,4.29,,0.27,0.99,1.34,0.09,0.48,3.37,2.76,,
May,3.05,4.33,,1.73,4.44,0.49,1.63,3.23,0.89,1.12,,
June,1.04,2.18,,3.53,3.95,1.40,1.37,3.63,1.66,1.24,,
July,1.32,1.59,,2.83,0.78,2.78,3.20,1.41,2.65,3.68,,
August,3.15,5.72,,2.46,0.67,3.20,2.60,2.71,4.03,2.07,,
September,2.34,3.23,,3.65,1.80,4.56,4.26,5.05,0.09,3.83,,
October,1.38,5.14,2.70,3.05,1.25,1.78,2.60,3.05,4.15,9.87,,
November,5.89,4.05,,8.27,3.48,0.97,2.24,2.08,6.14,4.22,,
December,4.26,3.91,,3.92,5.78,4.45,1.93,3.99,8.44,4.70,,
Total,40.29,43.36,,39.71,30.41,26.43,30.46,33.50,39.24,42.26,,
Calc annual,40.29,43.36,6.26,39.71,30.41,26.43,30.46,33.50,39.24,42.26,,
Difference,0.00,0.00,NaN,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
