"RILLINGTON (SCAMPSTON HALL)",,,,,,,,,,,,
Grid ref,SE864757,Long,-0.678019,Lat,54.169833,,,,,,,
Station no,3388,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.01,2.27,0.92,1.61,1.41,4.79,1.41,2.95,2.29,4.75,,
February,3.06,0.81,2.54,1.76,1.97,2.22,2.51,3.80,0.39,2.03,,
March,3.31,1.72,0.27,2.08,1.54,0.82,1.27,2.91,1.30,1.25,,
April,1.15,0.81,2.07,0.19,0.74,0.95,0.50,1.18,2.60,0.84,,
May,3.17,1.23,1.56,2.02,2.70,0.62,0.83,3.03,0.67,1.34,,
June,1.22,1.82,2.15,2.09,1.90,3.32,1.33,3.61,1.64,0.28,,
July,1.94,2.02,1.88,1.68,1.21,4.70,5.16,2.96,1.61,4.37,,
August,5.35,2.60,3.16,4.06,1.14,6.96,2.66,2.71,0.15,2.66,,
September,1.23,4.10,1.67,1.77,1.21,1.40,3.28,2.40,0.25,2.45,,
October,0.96,2.71,1.73,3.69,2.24,1.81,2.68,1.71,1.69,5.68,,
November,5.29,3.32,2.26,4.64,1.26,1.61,2.54,0.89,3.72,3.79,,
December,2.44,2.17,1.04,2.22,3.73,2.78,2.33,3.37,3.68,3.22,,
Total,31.13,25.58,21.25,27.81,21.05,31.98,26.50,31.52,19.99,32.66,,
Calc annual,31.13,25.58,21.25,27.81,21.05,31.98,26.50,31.52,19.99,32.66,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
