"BIRMINGHAM WW (CORS-YR-HWCH)",,,,,,,,,,,,
Grid ref,SN859600,Long,-3.671908,Lat,52.226345,,,,,,,
Station no,4212,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.90,10.00,3.75,6.10,7.00,11.10,10.50,10.50,11.50,12.90,,
February,9.30,9.00,6.00,8.00,4.95,2.00,9.15,13.50,1.50,12.35,,
March,10.00,4.70,6.00,7.00,6.50,6.00,8.00,2.50,6.10,3.50,,
April,7.80,4.50,5.50,3.30,5.50,3.00,0.70,3.00,7.60,6.00,,
May,3.80,5.70,4.70,5.00,8.70,1.95,3.75,6.00,2.30,3.00,,
June,2.00,5.60,5.20,8.60,8.50,4.75,4.00,6.50,3.90,4.40,,
July,3.20,3.60,9.20,9.10,1.50,6.00,11.00,7.10,5.50,7.30,,
August,9.40,7.80,6.50,8.50,2.00,12.20,11.10,6.00,0.90,6.00,,
September,6.50,5.90,7.60,8.60,5.50,8.50,15.00,10.60,0.60,7.50,,
October,2.00,9.25,5.70,15.50,6.40,5.75,8.50,8.80,11.70,9.20,,
November,15.50,5.50,8.80,15.50,5.95,5.90,4.60,5.60,10.60,15.40,,
December,11.50,10.80,3.50,11.50,10.50,9.50,7.40,7.10,15.10,11.90,,
Total,92.90,82.35,72.45,106.70,73.00,76.65,93.70,87.20,77.30,99.45,,
Calc annual,92.90,82.35,72.45,106.70,73.00,76.65,93.70,87.20,77.30,99.45,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
