"COLERAINE (THE CUTTS)",,,,,,,,,,,,
Grid ref,IC854302,Long,-6.662370,Lat,55.111905,,,,,,,
Station no,6239/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.77,6.13,1.37,4.04,4.37,3.55,4.83,3.66,3.34,4.12,,
February,3.52,2.27,1.63,3.24,2.21,1.98,2.89,4.88,0.78,4.23,,
March,2.86,1.61,0.83,2.95,1.01,1.32,2.75,1.34,2.64,1.43,,
April,2.07,1.46,2.32,1.24,1.84,1.30,1.62,2.12,4.59,2.68,,
May,1.43,1.52,1.88,3.87,3.66,1.41,2.11,2.57,1.18,2.16,,
June,2.76,3.31,2.99,3.21,3.66,3.07,1.90,4.43,2.15,2.56,,
July,3.53,1.73,4.54,4.24,0.93,5.01,6.39,5.43,4.86,7.09,,
August,4.32,6.61,4.06,2.64,0.71,5.14,3.28,5.72,0.79,9.85,,
September,2.31,3.70,3.68,5.08,5.15,3.39,4.88,3.19,1.25,2.83,,
October,1.66,4.80,2.07,4.98,3.28,3.42,3.56,3.25,4.80,3.55,,
November,5.45,3.90,3.56,5.31,1.60,3.12,1.93,2.10,4.29,3.35,,
December,5.83,4.92,3.43,5.68,4.84,3.68,5.36,3.88,4.79,5.03,,
Total,39.51,41.96,32.36,46.48,33.26,36.39,41.50,42.57,35.46,48.88,,
Calc annual,39.51,41.96,32.36,46.48,33.26,36.39,41.50,42.57,35.46,48.88,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
