"LLANHARAN (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SS974821,Long,-3.480423,Lat,51.528458,,,,,,,
Station no,4065,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.40,5.54,1.88,4.48,3.99,6.25,5.63,4.59,6.38,5.56,,
February,5.56,1.16,3.57,5.97,2.83,0.48,5.50,5.88,0.48,3.55,,
March,5.63,4.76,2.23,4.58,1.85,2.67,6.78,1.01,3.93,2.39,,
April,4.72,3.81,3.81,1.63,3.83,1.62,0.45,1.04,5.15,3.84,,
May,2.76,4.26,3.48,2.63,6.16,1.39,1.90,4.28,1.37,1.45,,
June,0.85,2.94,3.13,6.03,7.19,2.72,1.45,4.44,1.90,2.96,,
July,2.23,2.24,6.22,6.92,0.64,4.81,4.70,5.17,4.01,8.95,,
August,7.69,7.19,7.39,5.66,1.43,8.61,4.48,6.74,1.57,4.73,,
September,5.25,4.80,6.56,7.63,2.92,5.62,-999.00,8.65,0.51,6.22,,
October,2.00,5.23,3.90,8.56,2.91,1.96,5.67,8.08,7.25,7.03,,
November,8.91,4.60,4.25,10.76,3.90,2.10,2.87,5.08,6.89,12.03,,
December,3.92,4.73,2.39,5.22,7.94,5.96,3.16,5.55,11.52,7.38,,
Total,56.92,51.26,48.81,70.07,45.59,44.19,-999.00,60.51,50.96,66.09,,
Calc annual,56.92,51.26,48.81,70.07,45.59,44.19,42.59,60.51,50.96,66.09,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,-1041.59,0.00,0.00,0.00,,
