"BLAGDON (COOMBE LODGE)",,,,,,,,,,,,
Grid ref,ST491593,Long,-2.731957,Lat,51.330506,,,,,,,
Station no,2035,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.66,4.05,,,,,,,,,,
February,5.90,0.67,,,,,,,,,,
March,4.50,4.54,,,,,,,,,,
April,5.12,2.23,,,,,,,,,,
May,2.73,4.27,,,,,,,,,,
June,0.90,3.67,,,,,,,,,,
July,2.06,,,,,,,,,,,
August,-999.00,,,,,,,,,,,
September,3.03,,,,,,,,,,,
October,1.35,,,,,,,,,,,
November,9.10,,,,,,,,,,,
December,3.48,,,,,,,,,,,
Total,50.20,,,,,,,,,,,
Calc annual,42.83,19.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,7.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
