"ELMDON (BIRMINGHAM AIRPORT) (+A)",,,,,,,,,,,,
Grid ref,SP170835,Long,-1.751292,Lat,52.449198,,,,,,,
Station no,2477/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.57,2.39,0.81,0.81,2.09,3.77,1.11,2.62,2.81,5.16,,
February,2.66,0.45,1.05,2.68,1.82,0.45,2.74,3.92,0.09,1.89,,
March,4.33,2.06,1.41,2.48,3.43,1.00,2.11,1.81,1.77,1.46,,
April,2.31,2.24,1.91,0.47,1.09,0.91,0.17,0.80,3.28,1.24,,
May,3.36,2.58,1.54,2.21,4.44,0.70,1.83,2.17,0.78,0.99,,
June,1.17,1.58,2.22,2.53,2.94,2.53,0.84,4.13,0.61,2.26,,
July,0.58,0.58,2.60,3.17,1.62,2.09,3.38,3.57,1.30,3.09,,
August,4.88,3.16,2.14,3.90,0.56,4.41,4.14,3.02,0.94,3.92,,
September,2.10,1.54,2.33,1.58,1.52,2.01,4.13,3.91,0.11,4.80,,
October,0.73,4.10,2.46,3.19,1.46,1.21,1.12,2.69,2.47,4.51,,
November,6.13,2.00,1.03,5.56,2.48,0.43,1.97,1.92,3.78,3.17,,
December,2.16,2.12,0.98,1.90,1.95,3.45,2.24,2.71,4.55,3.42,,
Total,32.98,24.80,20.48,30.48,25.40,22.96,25.78,33.27,22.49,35.91,,
Calc annual,32.98,24.80,20.48,30.48,25.40,22.96,25.78,33.27,22.49,35.91,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
