"FETTERCAIRN (GLENSAUGH)",,,,,,,,,,,,
Grid ref,NO669782,Long,-2.544941,Lat,56.893970,,,,,,,
Station no,5615/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.25,2.36,1.63,2.06,1.91,6.00,3.46,5.25,2.83,6.59,,
February,4.56,1.70,1.73,4.35,3.12,2.03,3.90,5.65,0.28,3.39,,
March,3.64,5.67,0.36,3.99,2.22,1.99,3.54,7.70,1.78,2.87,,
April,4.34,2.34,4.67,1.10,0.75,1.51,1.37,2.66,2.63,2.63,,
May,1.65,3.69,2.55,5.09,2.82,0.78,2.64,3.78,2.12,1.32,,
June,2.80,3.68,2.42,2.30,1.33,2.65,1.82,2.63,3.15,1.61,,
July,4.51,2.37,4.45,3.25,0.97,4.98,6.41,7.73,2.79,4.46,,
August,3.97,4.76,2.01,4.33,0.63,5.47,8.01,4.53,0.84,4.85,,
September,1.92,1.15,3.01,2.43,2.49,4.99,2.48,3.86,0.75,3.51,,
October,1.36,3.80,1.75,6.41,3.74,3.36,2.03,2.12,4.28,12.75,,
November,8.91,3.40,2.88,7.65,2.90,1.41,2.22,0.97,8.40,6.37,,
December,2.59,4.60,4.31,3.91,6.80,5.25,4.35,6.53,7.69,2.28,,
Total,45.50,39.52,31.77,46.87,29.68,40.42,42.23,53.41,37.54,52.63,,
Calc annual,45.50,39.52,31.77,46.87,29.68,40.42,42.23,53.41,37.54,52.63,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
