"HEMINGFORD GREY",,,,,,,,,,,,
Grid ref,TL301708,Long,-0.092650,Lat,52.319891,,,,,,,
Station no,1152,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.81,1.62,0.66,0.83,1.74,,,,,,,
February,2.36,0.75,1.64,1.91,2.01,,,,,,,
March,2.90,2.58,0.33,2.37,1.62,,,,,,,
April,2.81,1.44,1.43,0.26,0.48,,,,,,,
May,2.34,2.11,1.84,2.66,3.21,,,,,,,
June,1.25,0.95,2.08,3.04,2.64,,,,,,,
July,0.85,0.62,1.92,2.18,0.29,,,,,,,
August,3.64,4.29,2.41,3.62,0.91,,,,,,,
September,2.00,2.06,0.70,1.60,1.23,,,,,,,
October,1.08,2.20,2.12,1.68,1.86,,,,,,,
November,3.05,3.02,1.10,3.29,0.95,,,,,,,
December,1.27,1.69,0.62,1.98,1.44,,,,,,,
Total,26.36,23.33,16.85,25.42,18.68,,,,,,,
Calc annual,26.36,23.33,16.85,25.42,18.38,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.30,NaN,NaN,NaN,NaN,NaN,,
