"DUSTON (SOUTHFIELD ROAD)",,,,,,,,,,,,
Grid ref,SP717612,Long,-0.951289,Lat,52.244323,,,,,,,
Station no,1112,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.29,1.76,1.16,0.92,1.90,3.94,1.22,2.91,3.81,3.52,,
February,3.14,0.63,1.70,2.20,1.56,0.63,2.29,3.23,0.04,1.92,,
March,3.39,2.52,1.03,2.57,2.23,0.89,1.89,1.97,3.08,1.41,,
April,3.00,2.30,2.06,0.38,0.78,1.22,0.42,0.82,2.30,0.62,,
May,2.84,2.06,1.23,2.81,4.63,0.38,1.76,2.30,0.43,1.82,,
June,1.08,1.05,2.44,2.94,3.14,2.77,2.09,3.94,1.24,3.67,,
July,1.49,0.36,2.55,2.76,0.24,4.50,3.16,2.78,2.69,2.85,,
August,4.56,3.98,2.64,3.98,0.36,4.08,2.74,2.82,0.85,3.65,,
September,1.53,2.30,1.60,2.19,1.85,2.04,4.70,2.41,0.06,3.57,,
October,0.98,3.40,2.38,2.30,1.69,1.47,1.73,2.36,1.88,5.37,,
November,5.10,3.08,1.47,5.01,1.31,0.76,1.75,1.93,2.16,3.01,,
December,1.79,2.65,0.78,2.22,1.97,3.29,2.20,2.74,4.33,2.79,,
Total,31.19,26.09,21.04,30.28,21.66,25.97,25.95,30.21,22.87,34.20,,
Calc annual,31.19,26.09,21.04,30.28,21.66,25.97,25.95,30.21,22.87,34.20,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
