"LINLITHGOW (COCKLEROI RES)",,,,,,,,,,,,
Grid ref,NS994749,Long,-3.612813,Lat,55.956551,,,,,,,
Station no,5158/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.78,3.67,0.80,,2.80,1.72,5.39,2.26,1.11,3.16,,
February,2.87,0.77,1.00,,2.20,2.15,3.05,2.20,1.17,2.55,,
March,4.08,2.27,0.50,,1.14,1.61,2.54,1.75,1.27,1.77,,
April,3.01,,2.43,,,0.55,1.89,1.65,2.28,1.49,,
May,2.71,,3.16,,,1.47,2.34,2.94,1.13,1.96,,
June,2.33,,1.44,,,3.22,1.76,4.19,1.88,1.15,,
July,6.90,,5.52,,,4.24,3.53,6.43,3.55,2.64,,
August,5.83,2.00,3.26,,,6.26,2.93,4.87,0.66,3.47,,
September,2.17,1.87,3.60,,,4.42,2.03,3.61,0.76,1.78,,
October,0.65,2.70,1.52,,1.60,2.14,2.98,2.11,2.87,3.85,,
November,5.63,2.00,4.98,4.04,1.26,0.75,1.95,1.40,5.74,3.15,,
December,4.37,2.05,3.86,4.25,4.61,3.89,3.85,5.23,4.45,3.54,,
Total,45.33,,32.07,,,32.42,34.24,38.64,26.87,30.51,,
Calc annual,45.33,17.33,32.07,8.29,13.61,32.42,34.24,38.64,26.87,30.51,,
Difference,0.00,NaN,0.00,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
