"COLWICK (HOLME SLUICES)",,,,,,,,,,,,
Grid ref,SK615393,Long,-1.086171,Lat,52.947569,,,,,,,
Station no,2605/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,2.79,1.02,2.42,2.48,4.24,,
February,,,,,,0.29,1.89,2.41,0.14,1.75,,
March,,,,,,0.47,1.94,1.10,1.24,1.53,,
April,,,,,,1.41,0.15,0.49,2.21,0.89,,
May,,,,,,0.45,1.13,1.85,0.41,0.94,,
June,,,,,3.15,3.04,1.68,4.02,1.34,1.63,,
July,,,,,1.34,2.48,1.67,3.78,1.63,3.03,,
August,,,,,0.42,4.35,2.77,2.44,0.56,3.77,,
September,,,,,0.61,1.56,4.96,1.88,0.06,3.67,,
October,,,,,1.27,1.09,1.10,1.97,1.70,4.83,,
November,,,,,1.04,0.50,1.75,1.14,1.88,2.52,,
December,,,,,1.50,1.63,2.03,2.70,2.66,3.01,,
Total,,,,,,20.06,22.09,26.20,16.31,31.81,,
Calc annual,0.00,0.00,0.00,0.00,9.33,20.06,22.09,26.20,16.31,31.81,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,-0.00,,
