"RUGBY (AVON WATERWORKS)",,,,,,,,,,,,
Grid ref,SP512763,Long,-1.249210,Lat,52.382348,,,,,,,
Station no,2463,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.37,1.78,1.01,1.06,2.04,3.53,1.59,3.15,,3.84,,
February,3.02,0.53,1.38,2.64,2.31,0.60,2.71,3.26,,1.74,,
March,3.58,2.04,0.96,2.40,2.64,0.76,2.22,1.63,,1.02,,
April,2.83,1.84,1.85,0.37,1.65,0.61,0.21,1.00,,0.60,,
May,2.77,2.42,1.44,2.61,4.34,0.50,1.55,2.03,,1.00,,
June,1.60,1.80,1.80,2.25,2.49,2.58,1.77,4.99,,4.13,,
July,1.24,0.27,3.41,3.10,0.30,2.33,2.84,3.57,,3.26,,
August,6.74,3.40,2.76,3.54,0.93,5.21,2.18,2.79,,2.75,,
September,1.61,1.77,1.34,2.13,1.64,1.94,3.89,2.63,,4.17,,
October,0.92,3.17,2.56,3.42,1.63,1.75,1.19,2.47,,4.89,,
November,4.12,2.24,1.25,5.05,1.13,0.71,1.13,2.00,,3.20,,
December,1.75,2.16,0.74,2.05,1.97,3.06,1.80,2.44,,3.40,,
Total,32.55,23.42,20.50,30.62,23.07,23.58,23.08,31.96,,34.00,,
Calc annual,32.55,23.42,20.50,30.62,23.07,23.58,23.08,31.96,0.00,34.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,0.00,,
