"PEEBLES LENTHAM WHITELAKE",,,,,,,,,,,,
Grid ref,NT328430,Long,-3.070106,Lat,55.675822,,,,,,,
Station no,5076/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,3.03,,
August,,,,,,,,,,4.17,,
September,,,,,,,,,,2.11,,
October,,,,,,,,,,4.51,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.82,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
