"HAYES (PARKSIDE)",,,,,,,,,,,,
Grid ref,TQ094809,Long,-0.424748,Lat,51.516439,,,,,,,
Station no,847/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.73,1.59,2.59,2.24,2.03,,
February,,,,,,0.21,3.05,2.37,0.11,1.83,,
March,,,,,,0.74,1.12,1.28,1.98,1.53,,
April,,,,,,1.16,0.25,1.16,1.95,0.63,,
May,,,,,,0.21,0.91,2.48,0.56,2.06,,
June,,,,,,1.81,0.83,3.89,0.68,1.65,,
July,,,,,,4.10,4.03,2.27,3.72,3.18,,
August,,,,,,3.51,2.38,3.06,1.32,2.86,,
September,,,,,,1.95,2.30,4.24,0.04,3.99,,
October,,,,,,3.10,2.04,2.31,1.91,6.17,,
November,,,,,,0.49,2.37,2.24,2.13,3.91,,
December,,,,,,3.06,1.59,3.34,3.17,2.38,,
Total,,,,,,24.07,22.46,31.23,19.81,32.22,,
Calc annual,0.00,0.00,0.00,0.00,0.00,24.07,22.46,31.23,19.81,32.22,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,,
