"FEDDERATE RESERVOIR",,,,,,,,,,,,
Grid ref,NJ865526,Long,-2.227301,Lat,57.563282,,,,,,,
Station no,5659/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.95,3.11,2.01,1.43,1.68,4.01,2.68,4.84,3.71,3.02,,
February,5.99,2.00,1.58,4.87,2.42,2.09,1.73,2.69,0.69,3.49,,
March,2.87,3.07,0.45,2.33,1.71,1.28,2.54,3.36,1.65,1.76,,
April,3.49,2.21,2.43,1.09,1.26,1.42,1.61,1.31,2.04,1.84,,
May,0.98,2.30,1.68,5.15,3.94,0.52,1.15,3.02,1.03,1.20,,
June,2.37,2.74,2.91,4.44,1.08,1.84,2.73,2.34,1.33,1.81,,
July,4.17,2.44,4.37,2.29,0.37,5.30,4.81,4.64,3.15,2.50,,
August,4.84,3.53,2.26,3.10,0.78,4.04,4.61,3.37,1.53,6.31,,
September,1.28,5.59,2.96,3.77,2.23,2.20,3.46,2.89,1.20,2.83,,
October,1.56,2.67,1.77,5.65,7.25,3.43,2.34,2.01,5.26,6.12,,
November,7.51,3.78,1.83,5.36,1.82,1.95,2.41,1.71,6.44,5.10,,
December,2.17,3.43,2.70,4.43,6.47,4.99,4.19,3.43,4.57,2.44,,
Total,41.18,36.87,26.95,43.91,31.01,33.07,34.26,35.61,32.60,38.42,,
Calc annual,41.18,36.87,26.95,43.91,31.01,33.07,34.26,35.61,32.60,38.42,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
