"ST. BEES HEAD LIGHTHOUSE",,,,,,,,,,,,
Grid ref,NX941143,Long,-3.637281,Lat,54.512901,,,,,,,
Station no,3656/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.09,2.77,2.74,2.14,2.39,3.38,3.64,4.22,1.66,3.99,,
February,2.46,0.48,1.36,4.76,0.98,0.66,2.88,4.23,1.11,4.33,,
March,4.23,2.79,0.38,3.13,2.10,1.25,3.27,1.38,2.52,0.62,,
April,1.31,3.28,1.89,0.90,2.85,1.77,1.41,0.80,2.58,3.51,,
May,1.52,2.20,2.57,3.50,2.13,1.91,2.92,2.84,0.93,2.20,,
June,1.44,2.48,1.40,4.06,4.14,2.82,1.73,4.74,3.30,1.45,,
July,2.58,1.83,4.88,4.82,4.07,5.79,3.50,2.71,2.22,3.58,,
August,6.98,3.17,4.32,4.86,2.52,9.79,2.94,4.21,0.44,4.59,,
September,6.25,2.74,5.84,6.58,2.49,4.48,5.28,3.99,2.25,4.55,,
October,0.57,2.75,2.77,6.74,2.70,3.37,4.66,3.84,3.86,2.33,,
November,6.07,1.78,6.03,7.17,2.39,1.12,2.12,3.10,8.94,5.84,,
December,4.41,4.26,3.05,3.62,4.15,4.61,4.02,3.48,6.67,3.84,,
Total,41.91,30.53,37.23,52.28,32.91,40.95,38.37,39.54,36.48,40.83,,
Calc annual,41.91,30.53,37.23,52.28,32.91,40.95,38.37,39.54,36.48,40.83,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,,
