"AUCHENCAIRN (TORR HOUSE)",,,,,,,,,,,,
Grid ref,NX800527,Long,-3.870755,Lat,54.854661,,,,,,,
Station no,5021,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.59,4.87,2.90,4.36,3.97,3.89,5.52,6.25,1.98,5.67,,
February,3.03,0.90,1.51,6.30,1.81,1.21,3.89,4.02,1.79,5.46,,
March,4.01,3.32,0.89,3.60,2.98,2.74,4.32,1.47,3.29,2.35,,
April,2.60,3.03,3.34,1.99,3.24,1.13,2.46,1.45,3.79,5.14,,
May,2.21,3.04,2.51,3.42,4.47,2.62,4.36,3.70,0.95,2.26,,
June,1.10,3.03,1.32,4.57,3.96,2.37,2.17,3.90,3.70,2.73,,
July,3.35,3.28,5.71,5.02,3.76,7.28,3.65,4.10,3.45,6.06,,
August,7.05,6.01,3.80,5.53,1.96,10.38,3.85,4.83,0.73,4.93,,
September,5.76,2.67,5.33,6.59,3.33,4.76,4.70,5.27,2.27,4.95,,
October,0.37,5.64,4.27,10.36,3.13,3.93,5.33,4.88,5.20,4.62,,
November,8.74,2.97,8.18,11.70,2.85,2.02,3.32,3.58,9.65,8.66,,
December,8.44,5.07,4.11,6.00,7.96,5.57,4.89,5.71,9.16,4.77,,
Total,52.25,43.83,43.87,69.44,43.42,47.90,48.46,49.16,45.96,57.60,,
Calc annual,52.25,43.83,43.87,69.44,43.42,47.90,48.46,49.16,45.96,57.60,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
