"DALWHINNIE",,,,,,,,,,,,
Grid ref,NN638848,Long,-4.239905,Lat,56.934383,,,,,,,
Station no,5691/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.70,2.78,2.30,4.13,2.86,4.10,8.27,4.64,3.07,,,
February,2.94,1.55,2.45,2.56,4.03,3.18,5.60,2.80,2.03,,,
March,1.71,3.11,1.79,2.88,1.37,2.99,3.94,2.15,3.82,,,
April,4.92,2.72,3.13,1.71,1.47,2.35,1.62,1.86,3.43,,,
May,1.25,3.37,3.48,5.14,3.58,4.02,1.16,3.97,1.76,,,
June,1.25,2.86,3.10,2.34,1.61,4.19,1.95,1.61,3.29,,,
July,2.78,2.09,4.57,2.39,0.58,4.74,4.64,4.45,4.04,,,
August,4.64,2.65,3.48,3.19,1.07,5.34,4.32,4.08,3.57,,,
September,3.04,3.59,3.91,6.59,4.35,6.95,2.85,4.56,0.74,,,
October,1.13,8.55,3.57,8.09,4.83,4.92,4.29,4.92,7.43,,,
November,8.28,2.90,7.55,10.69,2.02,3.48,1.90,0.94,6.37,,,
December,6.26,3.96,6.84,9.78,8.93,10.68,6.50,4.56,9.17,,,
Total,41.90,40.13,46.17,59.49,36.70,56.94,47.04,40.54,48.72,,,
Calc annual,41.90,40.13,46.17,59.49,36.70,56.94,47.04,40.54,48.72,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
