"STONEHOUSE (WYCLIFFE COLLEGE)",,,,,,,,,,,,
Grid ref,SO807049,Long,-2.280926,Lat,51.742466,,,,,,,
Station no,2157,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.83,2.11,0.80,2.01,2.85,3.74,2.66,2.20,3.85,4.07,,
February,3.64,0.53,1.44,2.66,1.82,0.33,2.93,3.74,0.22,2.50,,
March,3.44,2.27,0.60,2.71,1.61,0.47,2.19,0.95,2.21,1.67,,
April,2.90,2.19,2.57,0.21,0.73,1.83,0.09,0.75,3.25,1.05,,
May,2.98,3.10,2.13,1.86,4.23,0.75,1.54,2.48,1.85,1.36,,
June,0.81,1.98,1.67,4.91,3.62,2.14,1.26,4.04,2.51,2.13,,
July,0.68,0.64,3.10,2.39,1.44,2.15,3.03,2.20,2.05,3.98,,
August,5.27,3.97,3.14,3.70,0.26,3.38,2.98,4.08,2.99,4.55,,
September,3.03,1.40,2.69,3.36,0.71,2.94,2.65,4.41,0.13,3.84,,
October,0.61,3.38,2.07,2.45,1.29,1.27,1.81,2.15,2.12,5.78,,
November,7.04,3.74,0.90,6.08,2.76,0.80,1.81,2.54,3.43,4.30,,
December,2.72,1.62,0.74,2.25,2.88,3.80,2.69,3.45,6.10,2.92,,
Total,36.95,26.93,21.85,34.59,24.20,23.60,25.64,32.99,30.71,38.15,,
Calc annual,36.95,26.93,21.85,34.59,24.20,23.60,25.64,32.99,30.71,38.15,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
