"HAYFIELD (LEYGATEHEAD MOOR)",,,,,,,,,,,,
Grid ref,SK054894,Long,-1.920248,Lat,53.401397,,,,,,,
Station no,2643/9/7/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.60,4.75,2.15,4.90,4.40,7.35,2.68,4.80,5.15,9.10,,
February,4.22,3.95,3.25,4.38,3.25,2.65,3.80,8.10,0.70,5.40,,
March,5.45,2.60,3.50,3.60,4.30,2.10,3.60,2.75,2.35,1.70,,
April,2.40,3.75,2.75,0.65,2.30,2.00,0.60,1.10,3.20,2.80,,
May,1.90,2.95,2.30,2.60,5.60,2.00,1.60,4.35,0.55,2.30,,
June,1.50,2.95,2.80,3.15,3.30,3.80,2.00,5.95,1.17,1.50,,
July,4.45,4.10,6.40,9.10,1.20,6.45,6.00,6.00,4.80,7.50,,
August,6.60,2.80,4.60,6.25,0.68,11.60,7.10,4.20,0.48,6.80,,
September,3.00,5.55,1.85,5.60,2.50,5.60,8.90,5.60,0.16,4.80,,
October,1.20,5.00,2.40,6.80,2.60,3.80,5.20,4.60,3.95,5.30,,
November,9.35,3.65,2.90,6.60,1.80,2.30,3.20,2.50,6.00,6.00,,
December,7.12,4.80,1.80,7.80,5.80,7.00,5.00,3.45,7.00,5.20,,
Total,52.79,46.85,36.70,61.43,37.73,56.65,49.68,53.40,35.51,58.40,,
Calc annual,52.79,46.85,36.70,61.43,37.73,56.65,49.68,53.40,35.51,58.40,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,,
