"IDSWORTH (WATER TOWER)",,,,,,,,,,,,
Grid ref,SU729114,Long,-0.964761,Lat,50.897487,,,,,,,
Station no,690/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.83,2.50,1.32,2.00,3.62,5.35,2.84,5.07,3.88,4.59,,
February,5.94,0.72,1.38,3.62,1.99,0.17,5.25,2.88,0.15,3.24,,
March,5.38,3.26,0.47,3.84,1.38,0.43,2.22,1.74,2.87,1.94,,
April,2.89,2.03,1.88,0.32,0.50,1.98,0.23,0.85,2.65,0.98,,
May,2.38,2.88,2.82,2.83,4.23,0.31,1.00,3.13,0.33,1.27,,
June,2.08,1.59,2.60,3.31,3.20,2.44,1.62,3.29,1.20,3.08,,
July,2.54,0.32,4.19,3.89,0.89,2.58,4.45,1.84,2.04,5.04,,
August,6.75,3.10,2.17,2.87,2.10,3.49,3.12,4.90,5.27,5.19,,
September,3.17,3.49,2.75,2.80,2.28,4.00,3.19,3.98,0.11,5.97,,
October,1.60,4.77,4.14,2.68,3.54,1.63,2.28,2.65,3.30,8.99,,
November,9.23,4.51,1.46,6.25,2.47,0.80,3.08,2.92,4.35,6.94,,
December,3.28,3.34,0.85,3.55,4.65,6.53,2.95,4.35,8.72,4.53,,
Total,49.07,32.51,26.03,37.96,30.85,29.71,32.23,37.60,34.87,51.76,,
Calc annual,49.07,32.51,26.03,37.96,30.85,29.71,32.23,37.60,34.87,51.76,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
