"BOLTON W.W. (BROWN LOWE)",,,,,,,,,,,,
Grid ref,SD684193,Long,-2.479758,Lat,53.669214,,,,,,,
Station no,2889,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.41,4.59,2.87,6.54,3.08,6.21,4.89,5.53,3.46,6.60,,
February,3.64,2.26,1.58,4.67,2.62,1.24,4.12,8.83,1.13,4.15,,
March,5.64,2.95,2.84,3.67,2.46,2.13,5.18,2.59,2.62,1.74,,
April,3.33,4.26,4.22,1.41,3.89,3.16,0.83,2.08,3.77,3.21,,
May,2.98,3.02,3.56,3.48,5.29,2.29,2.70,5.68,2.15,2.55,,
June,1.74,5.63,3.64,4.62,4.59,3.34,2.86,5.11,2.83,1.76,,
July,5.28,4.08,6.54,9.82,1.26,7.45,9.18,4.85,6.00,11.60,,
August,5.77,5.84,6.13,8.30,1.74,14.22,9.06,5.58,0.61,6.38,,
September,4.09,6.31,5.98,6.86,6.07,4.53,11.25,5.66,0.51,3.97,,
October,1.24,5.96,2.75,10.85,3.65,3.54,9.73,5.93,6.03,5.37,,
November,10.26,3.73,7.69,9.57,3.76,2.31,2.68,2.27,6.40,8.38,,
December,12.44,5.64,2.58,8.33,6.75,5.48,7.09,5.05,10.62,6.03,,
Total,61.82,54.27,50.38,78.12,45.16,55.90,69.57,59.16,46.13,61.74,,
Calc annual,61.82,54.27,50.38,78.12,45.16,55.90,69.57,59.16,46.13,61.74,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
