"KING'S LYNN (FREEBRIDGE)",,,,,,,,,,,,
Grid ref,TF613184,Long,0.387805,Lat,52.739168,,,,,,,
Station no,1473/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.70,2.00,0.83,1.51,2.06,3.65,1.75,2.46,3.25,3.18,,
February,2.40,0.63,1.65,1.72,2.38,1.14,3.50,3.69,0.16,1.39,,
March,3.42,2.17,1.01,2.51,1.88,0.74,2.02,0.92,1.33,0.99,,
April,3.43,1.60,2.04,0.28,0.72,0.91,0.32,0.73,1.24,0.65,,
May,1.48,2.42,1.08,2.35,2.33,0.62,1.75,3.38,0.77,0.61,,
June,1.07,1.15,4.28,2.07,1.92,2.58,1.64,3.31,0.72,1.25,,
July,1.14,0.73,2.15,2.14,0.28,2.95,1.70,4.77,2.28,3.07,,
August,3.93,2.41,2.62,4.45,0.61,4.30,2.49,2.77,1.56,2.68,,
September,2.51,2.66,1.22,2.36,1.26,1.38,3.82,3.03,0.04,2.20,,
October,1.35,2.08,2.60,2.54,2.21,1.21,1.47,2.02,1.88,4.01,,
November,3.51,2.56,1.52,4.41,0.95,1.04,1.36,1.18,1.49,4.06,,
December,1.47,1.09,0.96,1.90,1.51,1.87,2.10,2.95,4.17,3.43,,
Total,28.41,21.50,21.96,28.24,18.11,22.39,23.92,31.21,19.39,27.52,,
Calc annual,28.41,21.50,21.96,28.24,18.11,22.39,23.92,31.21,18.89,27.52,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,,
