"TROUTBECK (DUBBS RESERVOIR)",,,,,,,,,,,,
Grid ref,NY422018,Long,-2.892006,Lat,54.408356,,,,,,,
Station no,3722/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.37,6.53,4.60,6.21,5.32,5.70,9.66,7.06,3.44,9.80,,
February,6.34,1.16,3.47,6.38,1.87,1.47,5.19,6.98,2.76,5.21,,
March,5.13,4.41,0.96,5.11,2.08,3.74,6.28,1.41,5.05,2.12,,
April,4.14,4.37,3.52,2.52,3.17,1.04,1.36,1.98,5.49,5.44,,
May,1.92,3.60,2.77,4.83,3.92,4.10,4.32,5.88,1.35,3.88,,
June,1.41,4.53,5.94,7.17,4.77,1.39,2.86,3.41,4.97,3.05,,
July,3.77,2.83,8.44,5.86,2.59,5.81,3.91,4.69,5.58,7.39,,
August,6.57,7.79,6.08,7.69,2.39,10.88,7.03,5.97,1.26,4.52,,
September,9.70,6.16,10.43,13.16,4.56,5.32,6.69,8.35,0.82,5.30,,
October,0.99,7.94,3.92,16.24,5.45,5.51,8.69,8.93,7.04,4.54,,
November,11.33,4.45,11.17,13.67,3.35,2.77,2.62,1.45,8.22,12.59,,
December,13.68,6.85,4.53,11.58,9.90,8.27,6.20,5.36,12.60,7.32,,
Total,72.35,60.62,65.83,100.42,49.37,56.00,64.81,61.47,58.58,71.16,,
Calc annual,72.35,60.62,65.83,100.42,49.37,56.00,64.81,61.47,58.58,71.16,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
