"DULVERTON (SECONDARY SCHOOL)",,,,,,,,,,,,
Grid ref,SS918277,Long,-3.544623,Lat,51.038438,,,,,,,
Station no,2110/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.23,,
February,,,,,,,,,,4.65,,
March,,,,,,,,,,3.19,,
April,,,,,,,,,,3.55,,
May,,,,,,,,,,2.89,,
June,,,,,,,,,,2.33,,
July,,,,,,,,,,5.94,,
August,,,,,,,,,,4.82,,
September,,,,,,,,,,4.84,,
October,,,,,,,,,,11.29,,
November,,,,,,,,,6.74,7.15,,
December,,,,,,,,,9.96,9.23,,
Total,,,,,,,,,,65.11,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.70,65.11,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
