"SCRUTON HALL POST OFFICE",,,,,,,,,,,,
Grid ref,SE300923,Long,-1.540242,Lat,54.325399,,,,,,,
Station no,3439/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.01,1.58,0.86,2.10,1.88,3.48,1.76,2.17,2.44,3.86,,
February,2.25,0.41,2.33,2.40,1.45,1.81,2.23,3.82,0.39,2.74,,
March,3.18,1.46,0.32,1.48,1.70,1.12,1.29,1.31,0.91,1.19,,
April,1.11,1.41,1.81,0.26,0.62,1.09,0.25,1.19,2.56,1.27,,
May,3.99,1.58,1.85,3.14,2.11,0.44,1.27,3.22,0.40,0.89,,
June,1.04,1.63,2.81,2.27,2.18,3.01,1.63,4.27,1.30,0.68,,
July,1.75,1.05,2.20,1.50,1.03,4.86,3.15,2.76,1.15,5.15,,
August,5.06,2.71,3.09,5.39,1.02,9.27,5.16,2.41,0.96,2.70,,
September,1.37,3.39,2.01,1.83,1.25,2.96,3.45,2.50,0.30,2.27,,
October,1.32,2.74,1.75,4.40,1.83,1.35,1.65,1.69,1.30,4.82,,
November,5.84,1.81,1.66,4.75,2.39,0.59,1.30,0.85,3.79,3.62,,
December,2.14,1.84,1.19,1.73,2.76,2.61,2.23,3.03,3.15,1.89,,
Total,31.06,21.61,21.88,31.25,20.22,32.59,25.37,29.22,18.65,31.08,,
Calc annual,31.06,21.61,21.88,31.25,20.22,32.59,25.37,29.22,18.65,31.08,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
