"GLEN CASSLEY (DUCHALLY)",,,,,,,,,,,,
Grid ref,NC388170,Long,-4.737808,Lat,58.112524,,,,,,,
Station no,5799/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.68,8.64,11.76,6.84,4.23,9.16,11.52,8.09,4.50,5.84,,
February,5.07,8.27,5.57,5.11,6.23,5.34,3.26,8.63,3.77,6.60,,
March,5.80,5.68,4.01,3.84,2.62,3.31,5.99,2.05,2.57,1.43,,
April,8.68,1.79,4.03,4.44,3.10,3.42,2.88,3.76,5.40,4.89,,
May,1.02,4.41,3.90,5.93,4.34,3.36,1.88,7.72,4.23,2.02,,
June,1.71,3.88,2.90,3.24,3.12,2.81,4.26,2.85,6.75,3.55,,
July,4.70,2.35,5.08,4.72,0.45,8.14,4.96,2.40,6.67,2.32,,
August,4.15,6.39,5.05,3.15,0.34,6.39,8.79,6.64,4.17,3.43,,
September,3.06,6.55,7.06,9.25,6.55,4.45,6.34,4.26,3.05,2.69,,
October,3.57,11.63,2.44,10.14,6.10,7.54,8.49,7.89,8.73,3.87,,
November,13.42,5.35,12.64,9.46,2.93,8.47,4.37,2.37,7.41,3.80,,
December,13.14,4.65,6.09,23.10,9.12,11.02,12.05,6.38,6.49,8.84,,
Total,72.00,69.59,70.53,89.22,49.13,73.41,74.79,63.04,63.74,49.28,,
Calc annual,72.00,69.59,70.53,89.22,49.13,73.41,74.79,63.04,63.74,49.28,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
