"BARNT GREEN (LINTHURST ROAD)",,,,,,,,,,,,
Grid ref,SO996732,Long,-2.007297,Lat,52.356861,,,,,,,
Station no,2408,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.60,2.35,1.15,1.11,2.91,3.57,1.35,2.72,3.37,5.87,,
February,2.78,0.58,1.57,2.77,2.00,0.57,2.65,4.86,0.22,2.52,,
March,5.48,2.45,1.63,2.59,2.94,1.15,2.32,1.43,2.03,1.42,,
April,2.78,2.36,2.70,0.79,1.54,1.32,0.11,0.64,3.06,1.26,,
May,3.88,2.66,2.60,3.26,4.21,0.70,1.49,2.74,1.12,2.01,,
June,1.14,1.77,2.50,3.47,3.10,2.65,1.39,4.22,1.13,2.99,,
July,1.14,1.53,3.76,3.86,0.75,3.62,3.43,3.31,1.66,4.11,,
August,5.17,4.29,3.07,5.18,0.69,5.73,4.00,2.79,1.48,4.18,,
September,2.65,1.57,2.89,2.22,1.89,3.25,4.82,4.78,0.23,5.05,,
October,0.72,5.33,2.22,4.13,1.48,1.81,1.63,2.47,2.95,6.38,,
November,7.79,2.58,1.55,6.29,3.30,0.72,2.05,2.51,4.45,4.00,,
December,2.51,3.30,1.30,2.43,2.33,3.18,3.00,3.27,5.93,3.85,,
Total,38.64,30.77,26.94,38.10,27.14,28.27,28.24,35.74,27.63,43.64,,
Calc annual,38.64,30.77,26.94,38.10,27.14,28.27,28.24,35.74,27.63,43.64,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
