"HARGRAVE HALL",,,,,,,,,,,,
Grid ref,TL035705,Long,-0.482839,Lat,52.322849,,,,,,,
Station no,1100,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.91,,,,,,,,,,,
February,3.21,,,,,,,,,,,
March,3.35,,,,,,,,,,,
April,2.65,,,,,,,,,,,
May,3.22,,,,,,,,,,,
June,0.89,,,,,,,,,,,
July,1.07,,,,,,,,,,,
August,4.29,,,,,,,,,,,
September,1.53,,,,,,,,,,,
October,0.87,,,,,,,,,,,
November,4.08,,,,,,,,,,,
December,1.85,,,,,,,,,,,
Total,29.92,,,,,,,,,,,
Calc annual,29.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
