"MULL (TOBERMORY LINNDHU)",,,,,,,,,,,,
Grid ref,NM515531,Long,-6.050569,Lat,56.603711,,,,,,,
Station no,5452/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,12.09,,,,,,,,,,,
February,6.21,,,,,,,,,,,
March,4.25,,,,,,,,,,,
April,5.79,,,,,,,,,,,
May,0.63,,,,,,,,,,,
June,2.17,,,,,,,,,,,
July,8.26,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,39.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
