"STANDON (HATTON W.W.)",,,,,,,,,,,,
Grid ref,SJ829370,Long,-2.255832,Lat,52.930129,,,,,,,
Station no,2356,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.53,2.82,0.99,1.52,2.35,3.36,2.22,2.85,3.05,4.81,,
February,1.78,0.97,1.74,2.71,2.05,0.76,2.78,4.21,0.54,2.21,,
March,3.72,1.61,1.16,2.26,2.92,1.60,2.66,1.51,1.92,1.34,,
April,1.84,2.68,2.27,0.59,1.62,1.39,0.30,0.92,3.17,1.40,,
May,2.91,1.84,2.21,1.71,3.68,1.16,1.38,2.55,1.01,2.18,,
June,1.69,2.52,3.44,3.40,3.08,3.31,2.92,4.53,1.21,2.65,,
July,1.91,1.21,3.76,3.52,0.86,3.87,4.84,3.72,1.50,3.01,,
August,4.02,1.86,3.20,5.42,1.47,5.01,5.48,3.97,0.81,4.59,,
September,1.91,2.31,2.33,3.33,2.36,2.65,6.31,3.77,0.30,4.63,,
October,0.84,3.56,1.80,5.91,1.43,2.21,2.41,3.69,2.06,4.51,,
November,5.92,1.79,1.85,5.12,1.86,1.62,1.81,1.84,3.67,4.60,,
December,3.04,3.25,1.88,3.38,3.07,3.16,1.49,3.03,4.81,2.63,,
Total,31.11,26.42,26.63,38.87,26.75,30.10,34.60,36.59,24.05,38.56,,
Calc annual,31.11,26.42,26.63,38.87,26.75,30.10,34.60,36.59,24.05,38.56,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
