"GRANGEMOUTH ( PUBLIC PARK )",,,,,,,,,,,,
Grid ref,NS930816,Long,-3.717933,Lat,56.015338,,,,,,,
Station no,5347,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.10,2.48,0.84,3.49,2.61,2.17,5.49,2.82,1.35,2.75,,
February,2.03,0.78,1.04,2.77,2.95,1.35,3.41,2.77,1.63,3.65,,
March,2.16,1.95,0.90,2.19,1.65,1.34,3.04,2.20,1.05,1.80,,
April,2.00,0.93,1.87,1.39,0.82,0.57,1.36,1.23,2.94,1.84,,
May,1.79,0.89,1.31,4.08,3.28,1.75,2.42,2.85,0.07,1.01,,
June,2.73,2.94,0.85,1.97,1.03,3.18,1.52,4.01,1.06,1.32,,
July,5.13,2.66,4.13,2.07,0.85,4.04,2.85,6.39,3.20,2.35,,
August,3.39,3.25,1.33,4.19,0.89,5.21,4.19,4.25,0.31,3.65,,
September,1.36,2.28,4.10,4.11,1.79,3.45,1.88,3.12,0.80,1.26,,
October,0.75,2.37,1.09,8.91,1.81,2.54,3.63,2.34,2.17,3.41,,
November,4.14,1.79,4.90,4.71,1.45,0.57,1.61,1.53,4.50,4.06,,
December,4.22,2.72,3.85,3.94,5.09,3.53,4.63,7.50,4.31,2.99,,
Total,33.80,25.04,26.21,43.82,24.22,29.70,36.03,41.01,23.39,30.09,,
Calc annual,33.80,25.04,26.21,43.82,24.22,29.70,36.03,41.01,23.39,30.09,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
