"ANNAN (CHAPELCROSS WORKS)",,,,,,,,,,,,
Grid ref,NY216702,Long,-3.227746,Lat,55.020138,,,,,,,
Station no,5032/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,6.10,3.52,,,,
February,,,,,,,3.46,3.52,,,,
March,,,,,,,3.96,1.91,,,,
April,,,,,,,1.52,1.53,,,,
May,,,,,,,2.67,3.43,,,,
June,,,,,,,1.79,3.18,,,,
July,,,,,,,4.88,4.31,,,,
August,,,,,,,3.55,4.89,,,,
September,,,,,,,4.74,7.20,,,,
October,,,,,,,4.73,4.05,,,,
November,,,,,,,0.86,1.45,,,,
December,,,,,,,2.29,3.36,,,,
Total,,,,,,,40.55,42.35,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,40.55,42.35,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,NaN,NaN,,
