"FORTROSE",,,,,,,,,,,,
Grid ref,NH749557,Long,-4.093432,Lat,57.573983,,,,,,,
Station no,5769,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.21,1.77,1.27,1.84,0.98,1.76,3.17,2.73,2.80,2.64,,
February,1.54,1.16,1.46,1.31,1.73,1.63,1.52,1.84,0.56,1.46,,
March,1.54,1.67,0.64,1.48,0.75,0.96,2.67,1.03,1.57,0.47,,
April,3.68,0.91,2.02,0.72,0.88,2.20,0.69,1.32,2.77,1.14,,
May,0.68,1.88,3.15,3.06,2.15,1.34,0.78,2.48,0.67,0.38,,
June,1.96,1.46,2.18,1.79,1.02,2.13,2.07,1.29,2.06,2.90,,
July,2.62,1.25,3.44,2.61,0.42,4.65,5.35,2.57,2.63,2.71,,
August,3.65,3.53,2.09,2.90,0.46,5.24,4.05,3.69,1.23,7.39,,
September,0.48,1.08,1.76,2.11,1.59,4.25,0.87,2.28,0.65,2.16,,
October,0.97,1.77,0.86,5.18,3.61,2.96,1.53,2.08,2.97,1.94,,
November,3.79,2.22,2.30,1.77,0.64,1.71,1.38,0.69,2.84,1.81,,
December,3.18,1.99,2.18,4.70,5.11,2.80,3.08,1.65,1.28,1.45,,
Total,26.30,20.69,23.35,29.47,19.34,31.63,27.16,23.65,22.03,26.45,,
Calc annual,26.30,20.69,23.35,29.47,19.34,31.63,27.16,23.65,22.03,26.45,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
