"CHARTERHOUSE",,,,,,,,,,,,
Grid ref,ST490551,Long,-2.732790,Lat,51.292734,,,,,,,
Station no,2027,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.20,3.59,0.94,3.25,4.56,4.84,3.96,2.94,4.73,4.53,,
February,5.15,1.04,2.20,4.24,2.83,0.38,3.74,5.51,0.34,2.96,,
March,4.92,5.37,1.03,3.93,1.48,1.64,3.14,1.53,4.78,3.04,,
April,5.22,2.16,4.17,0.96,2.21,1.80,0.19,1.45,3.43,2.21,,
May,2.94,3.68,2.17,3.37,4.43,0.69,2.23,3.50,1.89,1.69,,
June,0.74,4.90,3.41,4.38,3.88,2.75,2.50,3.86,2.38,4.25,,
July,1.52,0.86,6.05,5.12,0.34,3.76,5.68,4.36,2.82,6.32,,
August,7.50,4.92,4.73,3.79,1.07,5.32,6.22,5.47,1.59,7.13,,
September,3.66,4.64,4.05,6.08,3.86,5.04,5.08,5.54,0.40,5.13,,
October,1.15,4.68,2.84,5.31,2.06,1.70,4.32,4.57,4.26,10.19,,
November,10.09,5.50,2.46,7.76,4.76,0.73,2.94,3.71,5.72,5.98,,
December,3.17,3.53,1.31,3.62,5.34,4.25,3.49,4.99,7.01,4.84,,
Total,50.26,44.87,35.36,51.81,36.82,32.90,43.49,47.43,39.35,58.27,,
Calc annual,50.26,44.87,35.36,51.81,36.82,32.90,43.49,47.43,39.35,58.27,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
