"WOTTON UNDERWOOD (WOTTON HO. SCHOOL)",,,,,,,,,,,,
Grid ref,SP685162,Long,-1.007151,Lat,51.840213,,,,,,,
Station no,982/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.21,1.51,1.02,,,,,,,,,
February,3.24,0.56,1.62,,,,,,,,,
March,3.72,2.41,0.72,,,,,,,,,
April,2.45,1.88,2.19,,,,,,,,,
May,2.94,3.55,1.63,,,,,,,,,
June,1.58,1.33,1.46,,,,,,,,,
July,1.21,0.40,3.10,,,,,,,,,
August,3.33,3.37,2.75,,,,,,,,,
September,2.80,2.03,,,,,,,,,,
October,0.90,3.53,,,,,,,,,,
November,4.81,2.93,,,,,,,,,,
December,1.56,2.91,,,,,,,,,,
Total,31.75,26.41,,,,,,,,,,
Calc annual,31.75,26.41,14.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
