"ARBROATH (MUIRHEADS RES.)",,,,,,,,,,,,
Grid ref,NO607443,Long,-2.641492,Lat,56.588960,,,,,,,
Station no,5599,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.50,1.17,0.47,1.12,1.13,2.85,3.31,2.45,1.11,3.66,,
February,2.14,0.41,0.68,2.08,1.53,1.09,3.58,2.06,0.05,1.71,,
March,2.18,3.30,0.19,1.97,1.36,0.86,1.66,4.26,0.95,2.06,,
April,2.35,1.02,2.37,0.46,0.55,0.95,1.55,1.21,2.46,1.86,,
May,1.57,2.08,2.62,2.87,1.82,0.62,1.51,2.58,1.02,1.05,,
June,2.01,2.15,1.41,2.32,0.63,2.93,0.37,1.37,2.52,1.73,,
July,3.79,1.56,4.44,1.64,0.90,4.04,4.57,5.09,2.25,1.61,,
August,3.95,2.48,2.19,3.04,0.17,4.65,4.13,3.19,0.59,3.51,,
September,1.76,1.01,2.61,2.32,1.18,4.77,1.77,2.58,0.42,1.96,,
October,0.62,2.17,1.37,4.55,1.80,1.54,1.41,1.96,2.38,5.64,,
November,7.52,1.70,2.23,5.27,2.38,0.67,1.24,0.82,3.86,3.26,,
December,1.69,1.06,3.31,2.54,4.80,2.65,3.72,4.08,5.21,1.32,,
Total,34.08,20.11,23.89,30.18,18.25,27.62,28.82,31.65,22.82,29.37,,
Calc annual,34.08,20.11,23.89,30.18,18.25,27.62,28.82,31.65,22.82,29.37,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
